"feature","ERR11869021_humann_input_Abundance"
"PWY-7238: sucrose biosynthesis II",0.000703708
"PWY-1042: glycolysis IV",0.000617001
"PWY-5941: glycogen degradation II",0.000599117
"VALSYN-PWY: L-valine biosynthesis",0.000577981
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000559347
"PWY-5686: UMP biosynthesis I",0.000556219
"PWY-7790: UMP biosynthesis II",0.000556219
"PWY-7791: UMP biosynthesis III",0.000556219
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000552213
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.000545909
"ARO-PWY: chorismate biosynthesis I",0.000544171
"PWY-6609: adenine and adenosine salvage III",0.000531748
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.000529042
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.00051259
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.000508926
"PWY66-429: fatty acid biosynthesis initiation (mitochondria)",0.00050843
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.000505631
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000503179
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.000503179
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.000497135
