"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",99.22585,"","phylum","Firmicutes"
"k__Bacteria|p__Actinomycetota","2|201174",0.4913,"","phylum","Actinomycetota"
"k__Bacteria|p__Pseudomonadota","2|1224",0.14666,"","phylum","Pseudomonadota"
"k__Bacteria|p__Bacteroidota","2|976",0.06606,"","phylum","Bacteroidota"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.049,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Fusobacteriota","2|32066",0.00842,"","phylum","Fusobacteriota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00758,"","phylum","Verrucomicrobiota"
"k__Eukaryota|p__Ascomycota","2759|4890",0.00305,"","phylum","Ascomycota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.00208,"","phylum","Thermodesulfobacteriota"
