"feature","ERR11869078_humann_input_Abundance-RPKs"
"K02913",0.000910189
"K03088",0.000312636
"K19157",0.000277281
"K05845",0.000264428
"K01990",0.000196371
"K06147",0.000177171
"K02954",0.000176528
"K02914",0.000156772
"K02004",0.000148566
"K02965",0.000140228
"K10117",0.000132695
"K02909",0.000125895
"K02911",0.000123439
"K19299",0.000122791
"K02907",0.000120452
"K02003",0.00011926
"K02963",0.000117717
"K02904",0.000116954
"K02902",0.000113962
"K07497",0.000109008
"K02899",0.00010441
"K02961",0.000103458
"K02110",0.0001016
"K02518",0.00010026
"K03704",9.89821e-05
"K02529",9.79208e-05
"K02878",9.62341e-05
"K02906",9.58756e-05
"K01421",9.53078e-05
"K07133",9.52014e-05
