"tipo","funcion","abundancia"
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000520722
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000519282
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000449321
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.00042323
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000416872
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000332732
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000205692
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000171483
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000121547
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000116176
"pathway","PWY-4984: urea cycle",0.000100063
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",9.65883e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",7.09539e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",6.39457e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",6.37982e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",2.86269e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",1.71131e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",9.74219e-06
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",7.79966e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",5.64366e-06
"pathway","CARNMET-PWY: L-carnitine degradation I",4.05068e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.56452e-06
"pathway","PWY0-1221: putrescine degradation II",1.18412e-06
