"feature","ERR11869029_humann_input_Abundance-RPKs"
"K02913",0.000405594
"K03088",0.00031828
"K02914",0.000218743
"K02954",0.00013801
"K21572",0.000132497
"K02907",0.000122437
"K06147",0.000121815
"K19158",0.000121383
"K02004",0.000118832
"K02950",0.00011839
"K02965",0.000109279
"K02878",0.000107967
"K02911",0.00010659
"K02874",0.000102595
"K02948",9.88279e-05
"K02899",9.77358e-05
"K01992",9.40038e-05
"K02518",9.31126e-05
"K02355",9.14993e-05
"K02906",8.74686e-05
"K07473",8.68575e-05
"K18220",8.55163e-05
"K02961",8.54761e-05
"K02946",8.32303e-05
"K02867",7.76572e-05
"K01990",7.734e-05
"K10117",7.70324e-05
"K02952",7.66638e-05
"K02992",7.60995e-05
"K07133",7.49564e-05
