"feature","ERR11865952_humann_input_Abundance-RPKs"
"K03088",0.000526849
"K21572",0.000392087
"K02914",0.000269825
"K02913",0.000215291
"K02004",0.000161132
"K02907",0.000126578
"K02904",0.000112954
"K07085",0.000106372
"K02965",0.000105753
"K02950",0.000100119
"K02948",9.93646e-05
"K02878",9.92774e-05
"K02954",9.8608e-05
"K02078",9.72906e-05
"K02911",9.6027e-05
"K02005",9.42626e-05
"K02003",9.14499e-05
"K02996",9.02588e-05
"K00566",9.0079e-05
"K02909",8.5307e-05
"K01992",8.24707e-05
"K00615",8.1951e-05
"K00850",7.90827e-05
"K02970",7.82809e-05
"K12373",7.75099e-05
"K02916",7.72651e-05
"K01990",7.68747e-05
"K02874",7.63446e-05
"K03585",7.57455e-05
"K01206",7.25857e-05
