"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",86.14368,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",7.07126,"","phylum","Bacteroidota"
"k__Bacteria|p__Actinomycetota","2|201174",6.6702,"","phylum","Actinomycetota"
"k__Bacteria|p__Pseudomonadota","2|1224",0.04717,"","phylum","Pseudomonadota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.02286,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.01473,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.01017,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.00928,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Synergistota","2|508458",0.00883,"","phylum","Synergistota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.00182,"","phylum","Fusobacteriota"
