"feature","ERR11869093_humann_input_Abundance-RPKs"
"K21572",0.000974997
"K03088",0.00057203
"K02004",0.000220798
"K07085",0.000179305
"K02005",0.000156431
"K00566",0.000148204
"K02016",0.000137303
"K14652",0.000123496
"K00615",0.000121007
"K12373",0.000120081
"K19157",0.000119497
"K00850",0.000118572
"K03585",0.000118182
"K03497",0.000112628
"K02003",0.000109809
"K02992",0.000109039
"K01992",0.000108072
"K02906",0.000107686
"K03534",0.000106379
"K01206",0.000105906
"K02996",0.000104582
"K07568",0.000104113
"K00059",0.000104068
"K07240",0.000103199
"K01126",0.000102932
"K02564",0.000100051
"K02355",9.96078e-05
"K03530",9.4137e-05
"K03771",9.38645e-05
"K01990",9.35275e-05
