"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000400782
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000378153
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000284157
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000280526
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000274376
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000259797
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000256709
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000255976
"pathway","PWY-4984: urea cycle",0.000200418
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000197426
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000176963
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000136585
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",0.000124413
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000115923
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",7.4463e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",6.04203e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",5.59282e-05
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",4.10936e-05
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",3.14949e-05
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",3.14949e-05
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",2.30929e-05
"pathway","PWY-6562: norspermidine biosynthesis",2.05315e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.94553e-05
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",4.07576e-07
