"feature","ERR11869093_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000400782
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000378153
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000284157
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000280526
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000274376
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000259797
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000256709
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000255976
"PWY-4984: urea cycle",0.000200418
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000197426
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000176963
"PWY-6305: superpathway of putrescine biosynthesis",0.000136585
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000124413
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000115923
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",7.4463e-05
"ORNDEG-PWY: superpathway of ornithine degradation",6.04203e-05
"PWY-6803: phosphatidylcholine acyl editing",5.59282e-05
"AST-PWY: L-arginine degradation II (AST pathway)",4.10936e-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",3.14949e-05
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",3.14949e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",2.30929e-05
"PWY-6562: norspermidine biosynthesis",2.05315e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.94553e-05
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",4.07576e-07
