"feature","ERR11869084_humann_input_Abundance-RPKs"
"K03088",0.000303608
"K21572",0.000245901
"K02911",0.000147689
"K02004",0.00012812
"K02355",0.000107647
"K02887",9.76679e-05
"K07133",9.71616e-05
"K03530",9.28669e-05
"K01990",9.25639e-05
"K06147",9.21045e-05
"K02946",8.97879e-05
"K03497",8.66921e-05
"K04516",8.57953e-05
"K02992",8.18597e-05
"K02906",8.10732e-05
"K02867",8.07514e-05
"K01992",7.94426e-05
"K03496",7.85064e-05
"K16785",7.44828e-05
"K02935",7.13699e-05
"K19157",7.12136e-05
"K01190",7.07213e-05
"K07483",7.00165e-05
"K07473",6.9826e-05
"K02003",6.91087e-05
"K18220",6.74528e-05
"K03655",6.7354e-05
"K02564",6.65433e-05
"K00962",6.43923e-05
"K02863",6.3723e-05
