"feature","ERR11869087_humann_input_Abundance-RPKs"
"K02004",0.000627993
"K02529",0.000563847
"K01990",0.000501092
"K08659",0.000473162
"K00016",0.000450912
"K02003",0.00041857
"K07133",0.000416859
"K03294",0.000396916
"K02027",0.000379056
"K16786",0.000373695
"K00852",0.000371
"K10117",0.000340039
"K01955",0.000333464
"K06147",0.000326796
"K03111",0.000325912
"K02025",0.00032267
"K03657",0.000322481
"K01938",0.000317076
"K02994",0.000305492
"K01462",0.000303188
"K07496",0.000302497
"K03466",0.000300726
"K06180",0.000299977
"K02948",0.000299857
"K01358",0.000299093
"K01939",0.000296868
"K02036",0.000294403
"K01952",0.00029419
"K03686",0.000292376
"K01876",0.000290538
