"feature","ERR11866252_humann_input_Abundance"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000683773
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000647009
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000561915
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000536765
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000528439
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000392772
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000308779
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000222677
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000157205
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000126416
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",6.23227e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",5.90605e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",3.12209e-05
"PWY-4984: urea cycle",2.60258e-05
"PWY-6305: superpathway of putrescine biosynthesis",2.02253e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",7.30953e-06
"ORNDEG-PWY: superpathway of ornithine degradation",4.28721e-06
"PWY-6803: phosphatidylcholine acyl editing",1.383e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",3.60336e-07
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",3.60336e-07
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.45597e-07
"PWY0-1221: putrescine degradation II",1.1564e-07
