"feature","ERR11866252_humann_input_Abundance-RPKs"
"K03088",0.000280542
"K02913",0.000269998
"K02004",0.000265933
"K02003",0.000246845
"K21572",0.000174798
"K02914",0.000162569
"K02954",0.000156816
"K06147",0.000146492
"K01990",0.000138037
"K02950",0.000125192
"K02948",0.000123627
"K07467",0.00011819
"K02907",0.000112215
"K02030",0.000109036
"K02965",0.000104055
"K02878",9.64881e-05
"K02911",9.37626e-05
"K03497",8.88242e-05
"K02904",8.8769e-05
"K02874",8.87649e-05
"K00571",8.79703e-05
"K18640",8.58278e-05
"K01647",8.56328e-05
"K02926",8.48021e-05
"K20492",8.44722e-05
"K02529",8.40846e-05
"K07240",8.39811e-05
"K02899",8.31526e-05
"K18220",8.30732e-05
"K03496",8.0616e-05
