"feature","ERR11869081_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.00038463
"TRPSYN-PWY: L-tryptophan biosynthesis",0.00034043
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000300171
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000299687
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.00029775
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000291319
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000287272
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000257458
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000126793
"PWY-6305: superpathway of putrescine biosynthesis",8.9985e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",8.09572e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",7.75291e-05
"PWY-4984: urea cycle",7.51851e-05
"PWY-6803: phosphatidylcholine acyl editing",7.0507e-05
"ORNDEG-PWY: superpathway of ornithine degradation",5.55617e-05
"PWY-6628: superpathway of L-phenylalanine biosynthesis",4.3182e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",3.51904e-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.56848e-05
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",2.56848e-05
"AST-PWY: L-arginine degradation II (AST pathway)",1.73534e-05
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.1784e-05
"PWY0-1221: putrescine degradation II",1.02891e-05
"CARNMET-PWY: L-carnitine degradation I",7.44604e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",6.97915e-06
"PWY-6562: norspermidine biosynthesis",3.56058e-06
