"feature","ERR11869417_humann_input_Abundance-RPKs"
"K21572",0.000775929
"K03088",0.000556676
"K06147",0.000202526
"K02004",0.000177632
"K12373",0.000160049
"K06142",0.000148336
"K02355",0.000143456
"K01990",0.000137843
"K01992",0.00013373
"K07085",0.000132248
"K01190",0.00012237
"K02564",0.000120145
"K02992",0.000114312
"K02906",0.000109868
"K03530",0.000106116
"K00566",0.000102996
"K03585",9.76812e-05
"K00262",9.6385e-05
"K02016",9.62466e-05
"K01591",9.61402e-05
"K00789",9.54696e-05
"K01872",9.37343e-05
"K10206",9.27741e-05
"K02946",9.24077e-05
"K02911",9.17633e-05
"K02867",9.16505e-05
"K02933",9.0832e-05
"K00962",8.74788e-05
"K07114",8.71383e-05
"K01714",8.68377e-05
