"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",50.33797,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",45.45448,"","phylum","Bacteroidota"
"k__Bacteria|p__Actinomycetota","2|201174",2.80372,"","phylum","Actinomycetota"
"k__Bacteria|p__Pseudomonadota","2|1224",0.70146,"","phylum","Pseudomonadota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.66513,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.03723,"","phylum","Thermodesulfobacteriota"
