"feature","ERR11869415_humann_input_Abundance"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000466934
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000455562
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000446106
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000437015
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000380246
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000341635
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.00034101
"PWY-4984: urea cycle",0.000184392
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000145345
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000142325
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000142172
"PWY-6305: superpathway of putrescine biosynthesis",0.000137843
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",8.93466e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",5.1609e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",2.74132e-05
"PWY-6562: norspermidine biosynthesis",4.74566e-06
"PWY-6803: phosphatidylcholine acyl editing",4.40865e-06
