"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",60.69045,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",32.75068,"","phylum","Firmicutes"
"k__Bacteria|p__Actinomycetota","2|201174",4.3784,"","phylum","Actinomycetota"
"k__Bacteria|p__Pseudomonadota","2|1224",2.17247,"","phylum","Pseudomonadota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00501,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00299,"","phylum","Verrucomicrobiota"
