"feature","ERR11866037_humann_input_Abundance-RPKs"
"K02913",0.000679554
"K21572",0.000515115
"K03088",0.000455617
"K02914",0.000426187
"K02911",0.000222728
"K02004",0.000177777
"K02907",0.000161711
"K02355",0.000136227
"K02946",0.000131662
"K02954",0.000131491
"K02904",0.000128916
"K02518",0.00012547
"K02965",0.00012328
"K02005",0.000118752
"K00262",0.000118665
"K00850",0.000118591
"K02078",0.000115469
"K02950",0.000112449
"K02948",0.000112149
"K02878",0.000111355
"K07085",0.000108944
"K08998",0.000107415
"K02961",0.000107333
"K02874",0.00010694
"K02906",0.000106905
"K03073",0.000106037
"K02996",0.0001058
"K02887",0.000104982
"K02963",0.000102931
"K01951",9.96556e-05
