"feature","ERR11869193_humann_input_Abundance-RPKs"
"K02913",0.000743691
"K03088",0.000351657
"K02914",0.000324979
"K02004",0.000174215
"K02904",0.000131893
"K02954",0.000127709
"K18220",0.000115318
"K02878",0.000114462
"K06147",0.000111364
"K01990",0.000109869
"K21572",0.000106408
"K02950",0.000104836
"K02911",0.000102419
"K02970",0.000100678
"K02926",0.000100489
"K02907",9.88477e-05
"K02961",9.81883e-05
"K02965",9.61227e-05
"K07729",9.14224e-05
"K03496",9.11417e-05
"K02948",9.00267e-05
"K02902",8.99003e-05
"K03111",8.40644e-05
"K02899",8.33347e-05
"K02078",8.26084e-05
"K03497",8.20689e-05
"K02874",8.0726e-05
"K01992",7.79922e-05
"K02988",7.58435e-05
"K02003",7.54911e-05
