"feature","ERR11866593_humann_input_Abundance-RPKs"
"K02914",0.000562847
"K21572",0.000471298
"K02913",0.000386709
"K02907",0.000243277
"K07085",0.000225339
"K02904",0.000216482
"K02911",0.000216458
"K02916",0.000214742
"K02963",0.000179271
"K02355",0.000174401
"K02564",0.000171631
"K02518",0.000167688
"K01815",0.000164766
"K02954",0.0001621
"K03088",0.000160763
"K00262",0.000155169
"K02899",0.000153642
"K02005",0.000153198
"K02909",0.000150485
"K02956",0.000149741
"K02965",0.000148492
"K09808",0.00014846
"K02968",0.000146117
"K02876",0.000143805
"K01951",0.000143587
"K01993",0.000143438
"K02946",0.000142137
"K02078",0.000137122
"K02961",0.000136599
"K02902",0.00013639
