"feature","ERR11866002_humann_input_Abundance-RPKs"
"K21572",0.000840915
"K02913",0.000617609
"K03088",0.000583363
"K02914",0.000420824
"K19779",0.000244923
"K02004",0.000231584
"K02907",0.000204172
"K02911",0.000200166
"K05845",0.000156674
"K02954",0.000156215
"K02904",0.000151584
"K02355",0.000143561
"K02916",0.000139999
"K02902",0.00013497
"K07085",0.000131561
"K02963",0.000130324
"K02078",0.000129781
"K02518",0.000127705
"K01990",0.000126976
"K02003",0.000126633
"K00262",0.000126302
"K02961",0.000125728
"K02946",0.000123327
"K02965",0.000122497
"K00850",0.000121238
"K02968",0.000119835
"K02874",0.000116858
"K02950",0.000115842
"K02906",0.000115305
"K02878",0.000115173
