#mpa_vJun23_CHOCOPhlAnSGB_202306
#/home/jgarrote730/miniforge3/envs/env_perfect/bin/metaphlan /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_1_kneaddata_paired_1.fastq,/home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_1_kneaddata_paired_2.fastq --input_type fastq --nproc 8 --bt2_ps sensitive-local --bowtie2out /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_bowtie2.bz2 -o /home/jgarrote730/tfg_ckd/cleaned_data/ERR11865846_knead/ERR11865846_metaphlan_profile.txt
#88381796 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB95151	2|1239|	0.00015	
k__Bacteria|p__Firmicutes|c__CFGB49681	2|1239|	0.00014	
k__Bacteria|p__Firmicutes|c__CFGB78785	2|1239|	0.00014	
k__Bacteria|p__Firmicutes|c__CFGB84406	2|1239|	0.00011	
k__Bacteria|p__Firmicutes|c__CFGB41672	2|1239|	0.0001	
k__Bacteria|p__Firmicutes|c__CFGB95106	2|1239|	9e-05	
k__Bacteria|p__Firmicutes|c__CFGB40326	2|1239|	7e-05	
k__Bacteria|p__Firmicutes|c__CFGB78766	2|1239|	4e-05	
k__Bacteria|p__Bacteroidota|c__CFGB87897	2|976|	3e-05	
k__Bacteria|p__Bacteroidota|c__CFGB94014	2|976|	3e-05	
k__Bacteria|p__Firmicutes|c__CFGB94768	2|1239|	3e-05	
k__Bacteria|p__Firmicutes|c__CFGB81848	2|1239|	2e-05	
k__Bacteria|p__Firmicutes|c__CFGB9590	2|1239|	2e-05	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	43.66486	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	31.99877	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	15.53653	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	6.57828	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.66011	
k__Bacteria|p__Bacteroidota|c__CFGB95179|o__OFGB95179	2|976||	0.41411	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.18019	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.13378	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.13096	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.11181	
k__Bacteria|p__Bacteroidota|c__CFGB56395|o__OFGB56395	2|976||	0.0992	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	0.08744	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.07964	
