"feature","ERR11869433_humann_input_Abundance-RPKs"
"K03088",0.000393751
"K21572",0.000382109
"K16089",0.000277616
"K02004",0.000273231
"K06147",0.00018125
"K01990",0.000164325
"K02003",0.000150434
"K02057",0.000132921
"K03671",0.000116609
"K01992",0.000113265
"K07133",0.0001048
"K18220",9.52226e-05
"K09861",9.30401e-05
"K01520",8.90012e-05
"K02118",8.82018e-05
"K02954",8.65108e-05
"K20492",8.59265e-05
"K07085",8.50651e-05
"K02906",8.50131e-05
"K03547",8.45742e-05
"K00566",8.11602e-05
"K02926",8.03248e-05
"K05970",7.88973e-05
"K01462",7.58532e-05
"K01770",7.56042e-05
"K03497",7.4808e-05
"K02878",7.41927e-05
"K06889",7.38984e-05
"K02986",7.30245e-05
"K12373",6.92563e-05
