"feature","ERR11866080_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000270127
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000257976
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000251008
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000245205
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000244974
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000237906
"PWY-6305: superpathway of putrescine biosynthesis",0.000201261
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000192361
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000188793
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.000155998
"ORNDEG-PWY: superpathway of ornithine degradation",0.000144257
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000119577
"PWY-6803: phosphatidylcholine acyl editing",0.000115749
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000114892
"PWY-4984: urea cycle",7.53097e-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",6.55899e-05
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",6.55899e-05
"PWY-6628: superpathway of L-phenylalanine biosynthesis",6.44585e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",4.09128e-05
"AST-PWY: L-arginine degradation II (AST pathway)",4.03867e-05
"PWY0-1221: putrescine degradation II",2.70445e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.28825e-05
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.2128e-05
"CARNMET-PWY: L-carnitine degradation I",1.15191e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",8.79388e-06
"PWY-6562: norspermidine biosynthesis",3.81112e-06
