"feature","ERR11869451_humann_input_Abundance-RPKs"
"K21572",0.000767466
"K03088",0.000504234
"K02004",0.000403419
"K07085",0.00024566
"K00566",0.000236968
"K01992",0.000228038
"K06142",0.000221345
"K06147",0.000218318
"K12373",0.000208096
"K00791",0.000164071
"K00981",0.000160826
"K02003",0.000157949
"K02005",0.000155543
"K03585",0.000153565
"K01190",0.000151468
"K02342",0.000143076
"K04079",0.00014221
"K01945",0.000135271
"K02564",0.000134927
"K03150",0.000128222
"K02078",0.000127141
"K01924",0.000126432
"K06911",0.000125884
"K03744",0.000125337
"K01218",0.000124027
"K03495",0.000122615
"K02982",0.000122459
"K03648",0.000122388
"K00845",0.000121366
"K01869",0.000119718
