"feature","ERR11866308_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.0006808
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000634612
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000614564
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000602583
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000582234
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000293416
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000279008
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000169829
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",3.43636e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",3.12484e-05
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",2.52775e-05
"PWY-4984: urea cycle",2.14257e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",1.90112e-05
"PWY-6305: superpathway of putrescine biosynthesis",1.70416e-05
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",9.3272e-07
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",8.39815e-07
