"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.0006808
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000634612
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000614564
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000602583
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000582234
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000293416
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",0.000279008
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000169829
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",3.43636e-05
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",3.12484e-05
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",2.52775e-05
"pathway","PWY-4984: urea cycle",2.14257e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",1.90112e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",1.70416e-05
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",9.3272e-07
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",8.39815e-07
