"feature","ERR11866308_humann_input_Abundance-RPKs"
"K03088",0.000475226
"K03466",0.000270792
"K01990",0.000193964
"K02003",0.000168218
"K02004",0.000159655
"K07473",0.000150338
"K02057",0.000126918
"K02016",0.000123857
"K20460",0.000109554
"K01921",0.000107236
"K02015",0.000103057
"K02945",9.16633e-05
"K06147",8.88149e-05
"K02027",8.85545e-05
"K09861",8.23742e-05
"K06889",8.09784e-05
"K10118",8.05058e-05
"K02035",8.00154e-05
"K01992",7.66111e-05
"K07862",7.01918e-05
"K03498",6.97667e-05
"K02906",6.85109e-05
"K02926",6.84729e-05
"K03496",6.71789e-05
"K02529",6.67467e-05
"K02013",6.62501e-05
"K22607",6.5384e-05
"K02965",6.53742e-05
"K07467",6.50653e-05
"K08217",6.46789e-05
