"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",76.83594,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",13.32006,"","phylum","Bacteroidota"
"k__Bacteria|p__Actinomycetota","2|201174",6.54674,"","phylum","Actinomycetota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",2.50325,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Pseudomonadota","2|1224",0.32171,"","phylum","Pseudomonadota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.24862,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.21113,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Fusobacteriota","2|32066",0.01255,"","phylum","Fusobacteriota"
