"feature","ERR11869149_humann_input_Abundance"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000454297
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000435779
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000431933
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000431909
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000364915
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000346784
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000341105
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000263227
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000193243
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000165038
"PWY-4984: urea cycle",0.000161669
"PWY-6305: superpathway of putrescine biosynthesis",0.000120334
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",4.61436e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",4.39387e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",2.43668e-05
"PWY-6803: phosphatidylcholine acyl editing",1.28859e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",9.94822e-06
"ORNDEG-PWY: superpathway of ornithine degradation",6.99245e-06
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",5.11348e-07
"PWY0-1221: putrescine degradation II",4.69266e-07
