"feature","ERR11869145_humann_input_Abundance"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000594947
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000528555
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000484626
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000378796
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000375268
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000262812
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000261394
"PWY-6628: superpathway of L-phenylalanine biosynthesis",8.5985e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",7.23001e-05
"PWY-4984: urea cycle",6.50898e-05
"PWY-6305: superpathway of putrescine biosynthesis",4.5272e-05
"PWY-6630: superpathway of L-tyrosine biosynthesis",3.76669e-05
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",3.35318e-05
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",2.58879e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",1.35912e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",6.22995e-06
