"feature","ERR11869004_humann_input_Abundance-RPKs"
"K21572",0.00120631
"K02914",0.000881251
"K03088",0.000722329
"K02004",0.000363392
"K07085",0.000333464
"K02907",0.00029107
"K02003",0.000279009
"K02911",0.000255343
"K00566",0.00024884
"K02005",0.000239953
"K00262",0.000238201
"K02355",0.000214471
"K00850",0.000212315
"K07568",0.000202958
"K01915",0.000199727
"K00615",0.000192239
"K02078",0.000188545
"K02965",0.000182516
"K02996",0.000182236
"K12373",0.000180783
"K03551",0.000178724
"K03585",0.000177854
"K02913",0.000176096
"K02904",0.000168864
"K00876",0.000167736
"K02950",0.000165354
"K01866",0.000163751
"K03534",0.00016071
"K02970",0.000160415
"K05349",0.000160159
