"feature","ERR11869430_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000426614
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000416036
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.00040679
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000375633
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000356142
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000346971
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000178077
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000159838
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000150085
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000138476
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000102923
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",8.92454e-05
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",6.02871e-05
"PWY-4984: urea cycle",5.45072e-05
"PWY-6305: superpathway of putrescine biosynthesis",4.12046e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",3.20104e-05
"PWY-5180: toluene degradation I (aerobic) (via o-cresol)",3.18741e-05
"PWY-6803: phosphatidylcholine acyl editing",2.52394e-05
"ORNDEG-PWY: superpathway of ornithine degradation",1.68307e-05
"AST-PWY: L-arginine degradation II (AST pathway)",9.97264e-06
"PWY-6562: norspermidine biosynthesis",6.1866e-06
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",4.22313e-06
