"feature","ERR11869182_humann_input_Abundance-RPKs"
"K03088",0.000728825
"K21572",0.000419052
"K02914",0.000330487
"K02911",0.000270876
"K03530",0.000250906
"K02904",0.000217059
"K07473",0.000209408
"K01990",0.000201453
"K02355",0.000190968
"K02913",0.000181842
"K02946",0.000181355
"K03581",0.000174738
"K03496",0.000168352
"K03497",0.000164772
"K02954",0.000163491
"K02004",0.000152594
"K00973",0.00014049
"K02887",0.000139657
"K02906",0.000138497
"K02867",0.00013368
"K02935",0.000130089
"K02992",0.000127827
"K01591",0.000126738
"K00962",0.000118162
"K02933",0.000115319
"K02968",0.000114823
"K02895",0.000114157
"K02564",0.000114106
"K00262",0.000113294
"K03046",0.000113204
