"feature","ERR11869449_humann_input_Abundance-RPKs"
"K21572",0.000621961
"K03088",0.000407237
"K02004",0.000217606
"K07085",0.000149282
"K02564",0.000136449
"K02016",0.000135071
"K02906",0.000133117
"K02931",0.000127936
"K12373",0.000126857
"K00850",0.00012357
"K02996",0.000119495
"K02355",0.000118143
"K02886",0.000118133
"K00566",0.000115879
"K02954",0.00011112
"K02874",0.000109127
"K01585",0.000108526
"K02961",0.000106939
"K02357",0.000104861
"K00789",0.000104352
"K01885",0.000102504
"K01190",0.000101386
"K00262",0.000100744
"K03040",0.000100693
"K02902",9.96878e-05
"K02992",9.96588e-05
"K02003",9.84425e-05
"K01881",9.63133e-05
"K02963",9.60915e-05
"K03744",9.58394e-05
