"feature","ERR11869425_humann_input_Abundance-RPKs"
"K21572",0.000825477
"K02914",0.000624152
"K03088",0.000552949
"K02004",0.000233941
"K02911",0.000190568
"K02907",0.000181905
"K07085",0.000157478
"K02355",0.000155345
"K02904",0.000151994
"K02913",0.000140518
"K02518",0.000133239
"K00262",0.000132885
"K02965",0.000126003
"K02946",0.000125115
"K02963",0.000123954
"K02954",0.000118973
"K02961",0.000117617
"K02916",0.000117365
"K02078",0.000115899
"K08998",0.000114635
"K02970",0.000111607
"K02992",0.000109757
"K00561",0.000109109
"K02906",0.000108725
"K02948",0.000107053
"K02887",0.000105962
"K02902",0.000105777
"K02996",0.000105343
"K02956",0.000104671
"K02003",0.000102601
