"feature","ERR11869426_humann_input_Abundance-RPKs"
"K21572",0.000717518
"K02914",0.00049037
"K03088",0.000420371
"K02907",0.000220954
"K02911",0.000216433
"K02913",0.000177138
"K02355",0.000167519
"K02078",0.000165487
"K02004",0.000163781
"K02518",0.000160884
"K02916",0.000155637
"K02564",0.000155249
"K02904",0.000154546
"K07085",0.000153641
"K02946",0.000152574
"K00561",0.00015204
"K00262",0.000149202
"K02965",0.000148036
"K02954",0.000145868
"K02956",0.000135868
"K02968",0.000132826
"K02963",0.000130028
"K02906",0.000126479
"K02878",0.000125595
"K02950",0.00012537
"K02899",0.000125299
"K02992",0.000122509
"K01190",0.000120186
"K02887",0.000118529
"K02005",0.000117665
