"feature","ERR11868987_humann_input_Abundance"
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000414946
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000378872
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000376422
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000343178
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000336467
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000324561
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000244395
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000217799
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000178628
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000150537
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000131638
"PWY-6305: superpathway of putrescine biosynthesis",0.000118472
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",9.76423e-05
"PWY-4984: urea cycle",8.78356e-05
"PWY-6803: phosphatidylcholine acyl editing",8.74954e-05
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",6.45782e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",5.77132e-05
"ORNDEG-PWY: superpathway of ornithine degradation",4.88397e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",4.74762e-05
"PWY-5180: toluene degradation I (aerobic) (via o-cresol)",3.1689e-05
"AST-PWY: L-arginine degradation II (AST pathway)",1.96109e-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",1.81392e-05
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",1.81392e-05
"PWY-6562: norspermidine biosynthesis",1.26159e-05
"CARNMET-PWY: L-carnitine degradation I",5.69862e-06
"PWY0-1221: putrescine degradation II",4.5596e-06
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",3.94837e-06
