"feature","ERR11868995_humann_input_Abundance-RPKs"
"K21572",0.000436801
"K03088",0.000320292
"K02914",0.000245265
"K02004",0.000114774
"K02954",9.93698e-05
"K02916",9.17191e-05
"K02911",8.63272e-05
"K02904",8.55835e-05
"K02907",8.46192e-05
"K18922",8.19436e-05
"K00561",8.1631e-05
"K07085",7.41417e-05
"K02005",7.40954e-05
"K02902",6.90856e-05
"K08998",6.50849e-05
"K02878",6.35923e-05
"K02956",6.21016e-05
"K02963",6.07862e-05
"K00566",6.03525e-05
"K02003",5.9607e-05
"K02518",5.94559e-05
"K02946",5.94024e-05
"K02965",5.76154e-05
"K02078",5.7416e-05
"K00791",5.68186e-05
"K02355",5.63427e-05
"K02950",5.62104e-05
"K02970",5.56492e-05
"K01990",5.51561e-05
"K00788",5.48154e-05
