"feature","ERR11869096_humann_input_Abundance-RPKs"
"K03088",0.000495887
"K02913",0.000378617
"K07473",0.000236004
"K02914",0.000214683
"K02003",0.000162364
"K02907",0.00016169
"K06147",0.000157677
"K18220",0.000147612
"K02954",0.000130051
"K02004",0.000129109
"K02948",0.000122421
"K03496",0.000121777
"K02950",0.000121554
"K02916",0.000112126
"K01990",0.000108969
"K10117",0.000105349
"K21572",0.000104769
"K02965",0.000102186
"K02911",0.000101912
"K02919",0.000100423
"K02518",9.93532e-05
"K02899",9.73684e-05
"K02909",9.6869e-05
"K19157",9.61263e-05
"K02946",9.52862e-05
"K02878",9.33239e-05
"K19309",9.09388e-05
"K02902",8.48274e-05
"K02529",8.36642e-05
"K01992",8.36536e-05
