"feature","ERR11869402_humann_input_Abundance-RPKs"
"K02913",0.000661123
"K03088",0.000340796
"K02914",0.000271102
"K21572",0.000268113
"K02004",0.000158714
"K02911",0.000117536
"K02003",0.000117039
"K06147",0.000106389
"K01990",9.76553e-05
"K02954",9.32108e-05
"K02078",9.17499e-05
"K01992",9.10262e-05
"K02907",9.08303e-05
"K02965",8.80174e-05
"K02904",8.24641e-05
"K02909",7.94012e-05
"K14623",7.87017e-05
"K02878",7.39634e-05
"K02950",7.37101e-05
"K02899",7.06491e-05
"K02902",7.03325e-05
"K07085",6.88126e-05
"K00566",6.82142e-05
"K02948",6.81632e-05
"K03073",6.76345e-05
"K02970",6.64738e-05
"K02956",6.44973e-05
"K02963",6.27833e-05
"K02926",6.05082e-05
"K03671",5.99947e-05
