"feature","ERR11868990_humann_input_Abundance-RPKs"
"K03088",0.000494056
"K21572",0.000262366
"K02914",0.000233239
"K19157",0.000174215
"K02907",0.000158791
"K03496",0.00015303
"K02003",0.000147204
"K02950",0.000143509
"K02911",0.000137445
"K02954",0.000135177
"K07473",0.000134134
"K02913",0.000129828
"K02004",0.000128036
"K02355",0.00012243
"K02948",0.000115903
"K03655",0.000114793
"K03111",0.000111109
"K00262",0.000106777
"K06147",0.000106691
"K02906",0.000105297
"K02564",0.0001035
"K02965",0.00010296
"K02926",9.96973e-05
"K02110",9.91882e-05
"K02946",9.80941e-05
"K03551",9.54488e-05
"K00850",9.51522e-05
"K19158",9.49274e-05
"K16785",9.45142e-05
"K02992",9.41048e-05
