"tipo","funcion","abundancia"
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000396749
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000396576
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000384768
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000367075
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000283908
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000283124
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000279694
"pathway","PWY-4984: urea cycle",0.000249141
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000225079
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000153817
"pathway","PWY-6305: superpathway of putrescine biosynthesis",0.000116132
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",7.03785e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",6.1096e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",5.93941e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",3.31401e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",6.94351e-06
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",5.8874e-06
"pathway","PWY-6803: phosphatidylcholine acyl editing",3.83819e-06
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",2.83487e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.47736e-06
"pathway","CARNMET-PWY: L-carnitine degradation I",1.40753e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",6.23121e-07
