"feature","ERR11869013_humann_input_Abundance-RPKs"
"K21572",0.000245021
"K03088",0.000209871
"K02004",9.81113e-05
"K02961",9.20412e-05
"K02992",7.98442e-05
"K01992",6.33437e-05
"K02887",5.87282e-05
"K03496",5.53025e-05
"K02003",5.51971e-05
"K00566",5.13601e-05
"K02890",5.0669e-05
"K02892",5.04734e-05
"K06919",5.01812e-05
"K01990",4.98921e-05
"K03551",4.90903e-05
"K02926",4.90359e-05
"K02982",4.8955e-05
"K07085",4.88102e-05
"K01579",4.75246e-05
"K01939",4.56851e-05
"K02078",4.55565e-05
"K02863",4.51264e-05
"K02950",4.3887e-05
"K02902",4.37462e-05
"K01881",4.36475e-05
"K14652",4.31668e-05
"K07240",4.2504e-05
"K01923",4.20577e-05
"K02500",4.20058e-05
"K03596",4.1832e-05
