"feature","ERR11869409_humann_input_Abundance-RPKs"
"K21572",0.00034654
"K03088",0.00030001
"K03496",0.00016131
"K02954",0.000121312
"K01992",0.000113108
"K01990",0.000109496
"K02004",0.000106246
"K02935",0.000103422
"K06147",0.000102505
"K02946",0.000101784
"K02906",0.000101157
"K02355",9.73654e-05
"K02564",8.75962e-05
"K03111",8.34191e-05
"K02003",7.8315e-05
"K02887",7.66034e-05
"K02992",7.51616e-05
"K02863",7.14831e-05
"K07133",6.99112e-05
"K02961",6.79699e-05
"K02358",6.67883e-05
"K03530",6.6653e-05
"K02948",6.6651e-05
"K02996",6.61545e-05
"K00262",6.61106e-05
"K03497",6.58281e-05
"K03655",6.42906e-05
"K02926",6.40474e-05
"K18220",6.36623e-05
"K01881",6.29325e-05
