"feature","ERR11869178_humann_input_Abundance-RPKs"
"K02913",0.000758001
"K03088",0.000375716
"K02003",0.000184942
"K02004",0.000167335
"K07235",0.000161517
"K06147",0.000158501
"K02954",0.000154734
"K18220",0.000134771
"K02919",0.000120286
"K02909",0.000115775
"K01990",0.000115178
"K02904",0.000113808
"K02907",0.000103441
"K07473",9.8337e-05
"K02914",9.80469e-05
"K02970",9.59616e-05
"K02950",9.5466e-05
"K03496",8.91662e-05
"K02315",8.76336e-05
"K02899",7.91425e-05
"K02948",7.7202e-05
"K01992",7.31986e-05
"K02965",7.24971e-05
"K02874",7.08194e-05
"K07133",7.04963e-05
"K03704",6.7476e-05
"K02916",6.70021e-05
"K02996",6.47074e-05
"K02946",6.28354e-05
"K21572",6.24572e-05
