"feature","ERR11865921_humann_input_Abundance-RPKs"
"K21572",0.000590287
"K03088",0.000480282
"K02914",0.000451613
"K02913",0.000362832
"K02004",0.000332929
"K02907",0.000214452
"K02954",0.000206272
"K02965",0.000178521
"K02003",0.000167678
"K02911",0.000162291
"K02904",0.000160341
"K02950",0.000155298
"K01990",0.000155199
"K02005",0.000150742
"K02948",0.000149269
"K02878",0.000148633
"K06147",0.000146605
"K02899",0.000145654
"K02909",0.000142193
"K02529",0.000133438
"K02916",0.000132551
"K02946",0.000130365
"K02963",0.000124407
"K02902",0.000124078
"K02874",0.000122141
"K07133",0.000118509
"K02906",0.000117493
"K07085",0.000116711
"K01915",0.000116639
"K02518",0.000115079
