"feature","ERR11869076_humann_input_Abundance-RPKs"
"K03088",0.000570621
"K21572",0.000528703
"K02914",0.000379927
"K02004",0.000279517
"K01990",0.00024209
"K02913",0.000235953
"K02003",0.000217178
"K02907",0.0002088
"K06147",0.000178055
"K02355",0.000167516
"K02919",0.000164351
"K02911",0.000160584
"K00262",0.00014737
"K02954",0.000143773
"K02965",0.000139529
"K02906",0.000137809
"K02950",0.000134435
"K02948",0.000134019
"K02878",0.00013028
"K00566",0.000129379
"K02078",0.000127147
"K01992",0.000126695
"K01951",0.000124482
"K02935",0.000123187
"K03497",0.000123094
"K07133",0.000122886
"K02946",0.000121982
"K07240",0.000121566
"K12373",0.000118453
"K07085",0.000115233
