"feature","ERR11866330_humann_input_Abundance-RPKs"
"K02004",0.000193252
"K01520",0.000124902
"K03088",0.000115146
"K21572",9.11912e-05
"K07726",8.97824e-05
"K06147",7.84576e-05
"K18220",7.75703e-05
"K03496",6.66219e-05
"K02003",5.6242e-05
"K03205",5.12542e-05
"K07133",4.90028e-05
"K02355",4.78464e-05
"K02878",4.48254e-05
"K01990",4.19304e-05
"K02906",3.97622e-05
"K02887",3.85717e-05
"K02933",3.79752e-05
"K02992",3.63927e-05
"K16785",3.60744e-05
"K02948",3.47831e-05
"K03497",3.47814e-05
"K02946",3.31296e-05
"K03046",3.29902e-05
"K02935",3.25895e-05
"K02034",3.25743e-05
"K02867",3.25684e-05
"K02033",3.16569e-05
"K10117",3.16261e-05
"K03147",3.15817e-05
"K00705",3.14401e-05
