"feature","ERR11869392_humann_input_Abundance-RPKs"
"K02913",0.000929765
"K03088",0.000717031
"K21572",0.00063075
"K02914",0.000391964
"K02907",0.000211125
"K02004",0.000200131
"K02954",0.000189861
"K02950",0.000172344
"K02911",0.00016369
"K02965",0.000160506
"K02874",0.000150249
"K02926",0.000142556
"K02003",0.000136375
"K01990",0.000134194
"K02961",0.00013418
"K02948",0.000133808
"K02899",0.000131401
"K02904",0.000130527
"K02970",0.000128446
"K02946",0.000127618
"K02878",0.000126934
"K02902",0.000125439
"K02916",0.000120483
"K02890",0.000116396
"K07473",0.000115122
"K02355",0.000112518
"K02952",0.000110495
"K02881",0.000109636
"K02078",0.000109442
"K02005",0.000109214
