"feature","ERR11866203_humann_input_Abundance-RPKs"
"K21572",0.000890341
"K02913",0.000721846
"K03088",0.000523609
"K02914",0.000442394
"K19779",0.000346479
"K02004",0.000236675
"K02911",0.000215061
"K02907",0.000205105
"K05845",0.000175903
"K02954",0.000150646
"K02904",0.000148182
"K02355",0.000146479
"K07085",0.000141239
"K02946",0.000135688
"K02916",0.000132566
"K02078",0.00013122
"K02963",0.000127928
"K00262",0.000127626
"K02965",0.000124883
"K02902",0.000124832
"K00850",0.000124494
"K03073",0.000120353
"K01992",0.000120128
"K02968",0.0001178
"K01990",0.000116252
"K02564",0.000114368
"K02906",0.000111894
"K02899",0.000111043
"K02935",0.000110656
"K02950",0.000110618
