"feature","ERR11866203_humann_input_Abundance"
"GLUTORN-PWY: L-ornithine biosynthesis I",0.000292987
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.000292596
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000271161
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000255263
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000255133
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.00024921
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000232358
"PWY-6803: phosphatidylcholine acyl editing",0.000190106
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000188063
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000168883
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.000166129
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.000150235
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000146576
"ORNDEG-PWY: superpathway of ornithine degradation",0.000146574
"PWY-6305: superpathway of putrescine biosynthesis",0.00014376
"PWY-4984: urea cycle",0.000128185
"PWY-5180: toluene degradation I (aerobic) (via o-cresol)",0.000101896
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.000100383
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",7.45128e-05
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",7.45128e-05
"AST-PWY: L-arginine degradation II (AST pathway)",6.37174e-05
"PWY0-1221: putrescine degradation II",3.53725e-05
"CARNMET-PWY: L-carnitine degradation I",1.52225e-05
"PWY-6922: L-N&delta;-acetylornithine biosynthesis",1.09462e-05
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.06613e-05
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",5.05269e-06
"PWY-6562: norspermidine biosynthesis",2.67284e-06
