"feature","ERR11866229_humann_input_Abundance-RPKs"
"K02913",0.00116496
"K02914",0.000377965
"K21572",0.000356005
"K03088",0.000316572
"K02911",0.00021128
"K02907",0.000190169
"K02954",0.000171094
"K19779",0.000145601
"K02904",0.000136144
"K02004",0.000129706
"K02965",0.00012951
"K02946",0.000129394
"K02878",0.000119445
"K02902",0.000116306
"K03704",0.000114228
"K02078",0.000113502
"K02518",0.000112773
"K02355",0.00011045
"K02950",0.000108643
"K02916",0.000108296
"K02874",0.000106956
"K02948",0.000105367
"K03073",0.000102058
"K02906",9.93134e-05
"K02963",9.91602e-05
"K02956",9.78154e-05
"K02996",9.73564e-05
"K02867",9.69566e-05
"K02982",9.56487e-05
"K02970",9.50781e-05
