"feature","ERR11869389_humann_input_Abundance-RPKs"
"K02913",0.000502311
"K03088",0.000494342
"K05845",0.000199422
"K02004",0.000190902
"K02965",0.000185708
"K02954",0.000179489
"K02904",0.000177642
"K02914",0.000168855
"K01990",0.000153004
"K02948",0.000148986
"K02057",0.000146226
"K02878",0.000145662
"K02003",0.000143465
"K02950",0.000139887
"K07473",0.000139566
"K02907",0.000134987
"K02874",0.000132794
"K19779",0.000131511
"K01992",0.00012252
"K02892",0.000107953
"K02946",0.000105816
"K02952",0.000105448
"K02909",0.000105346
"K02899",0.000102485
"K02926",0.00010181
"K02030",0.000101426
"K02906",9.70216e-05
"K06147",9.696e-05
"K03704",9.57684e-05
"K01874",9.38443e-05
