"feature","ERR11869435_humann_input_Abundance-RPKs"
"K21572",0.000488315
"K03088",0.000317172
"K02355",0.00014098
"K02906",0.000139446
"K02564",0.000133447
"K02004",0.000133441
"K02931",0.000131154
"K00850",0.00012526
"K02992",0.000123402
"K07085",0.000117612
"K02874",0.000116811
"K02886",0.000115601
"K02016",0.000111244
"K02996",0.000108876
"K02954",0.000106886
"K19158",0.000105435
"K02867",0.000104601
"K01585",0.000100851
"K00566",0.000100694
"K02933",9.99102e-05
"K07114",9.88911e-05
"K02078",9.73487e-05
"K02988",9.70656e-05
"K02961",9.53235e-05
"K02946",9.35266e-05
"K02878",9.28414e-05
"K02863",9.269e-05
"K00014",9.17591e-05
"K14652",8.91371e-05
"K00789",8.89958e-05
