"tipo","funcion","abundancia"
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000391349
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000390592
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000233373
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000224924
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000221012
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.000205837
"pathway","PWY-4984: urea cycle",0.000204515
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000196077
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",0.00018938
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000146863
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.000145028
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",7.06188e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",6.91308e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",6.38211e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",4.25595e-05
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",2.16429e-05
"pathway","PWY-6803: phosphatidylcholine acyl editing",2.12337e-05
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",1.47415e-05
"pathway","ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",7.69269e-06
"pathway","ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation",7.69269e-06
"pathway","AST-PWY: L-arginine degradation II (AST pathway)",5.87542e-06
"pathway","PWY-6922: L-N&delta;-acetylornithine biosynthesis",3.73554e-06
"pathway","PWY0-1221: putrescine degradation II",1.80615e-06
"pathway","PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.59122e-06
"pathway","CARNMET-PWY: L-carnitine degradation I",3.96369e-07
