"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",58.13368,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",23.88401,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",16.1729,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",1.1395,"","phylum","Actinomycetota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.48417,"","phylum","Fusobacteriota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.0818,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.06473,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.03068,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Candidatus_Melainabacteria","2|1798710",0.00852,"","phylum","Candidatus_Melainabacteria"
