"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Bacteroidota","2|976",74.59892,"","phylum","Bacteroidota"
"k__Bacteria|p__Firmicutes","2|1239",21.11693,"","phylum","Firmicutes"
"k__Bacteria|p__Pseudomonadota","2|1224",2.91175,"","phylum","Pseudomonadota"
"k__Bacteria|p__Actinomycetota","2|201174",0.7266,"","phylum","Actinomycetota"
"k__Bacteria|p__Fusobacteriota","2|32066",0.49536,"","phylum","Fusobacteriota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.13749,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Bacteria_unclassified","2|",0.01199,"","phylum","Bacteria_unclassified"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.00097,"","phylum","Verrucomicrobiota"
