"clade_name","NCBI_tax_id","relative_abundance","additional_species","tax_level","taxon"
"k__Bacteria|p__Firmicutes","2|1239",63.32073,"","phylum","Firmicutes"
"k__Bacteria|p__Bacteroidota","2|976",31.55502,"","phylum","Bacteroidota"
"k__Bacteria|p__Actinomycetota","2|201174",2.44697,"","phylum","Actinomycetota"
"k__Bacteria|p__Pseudomonadota","2|1224",2.13219,"","phylum","Pseudomonadota"
"k__Bacteria|p__Thermodesulfobacteriota","2|200940",0.32134,"","phylum","Thermodesulfobacteriota"
"k__Bacteria|p__Synergistota","2|508458",0.09332,"","phylum","Synergistota"
"k__Bacteria|p__Verrucomicrobiota","2|74201",0.05467,"","phylum","Verrucomicrobiota"
"k__Bacteria|p__Candidatus_Saccharibacteria","2|95818",0.04317,"","phylum","Candidatus_Saccharibacteria"
"k__Bacteria|p__Candidatus_Melainabacteria","2|1798710",0.02404,"","phylum","Candidatus_Melainabacteria"
"k__Bacteria|p__Bacteria_unclassified","2|",0.00855,"","phylum","Bacteria_unclassified"
