"feature","ERR11869154_humann_input_Abundance-RPKs"
"K02913",0.000502151
"K02914",0.00045616
"K21572",0.000455394
"K03088",0.000429575
"K02911",0.000291256
"K02004",0.000286857
"K02907",0.000222455
"K02954",0.000197681
"K02970",0.000184107
"K02909",0.000179407
"K02916",0.000178966
"K02904",0.000175264
"K02965",0.000172213
"K02961",0.000167787
"K02950",0.000167039
"K02881",0.000155561
"K02874",0.000153261
"K02946",0.000151612
"K02892",0.000150626
"K02948",0.000146278
"K02878",0.00014436
"K07133",0.000144037
"K01647",0.000142862
"K02899",0.000141904
"K01990",0.000141633
"K02906",0.000139685
"K02518",0.000139656
"K02867",0.000137061
"K01992",0.000136647
"K02003",0.000133763
