"feature","ERR11869023_humann_input_Abundance-RPKs"
"K21572",0.0012283
"K03088",0.000996596
"K02914",0.000733948
"K02913",0.000501749
"K02004",0.000376018
"K07085",0.000287904
"K02907",0.000271407
"K00566",0.00025548
"K02005",0.000230811
"K02078",0.000226585
"K02911",0.000224825
"K00615",0.000224231
"K12373",0.000219123
"K03497",0.000209237
"K03585",0.000203467
"K02003",0.000194862
"K01206",0.000194434
"K00850",0.000190886
"K07568",0.000188659
"K00262",0.000188295
"K02355",0.000185772
"K02904",0.000185664
"K01992",0.000184678
"K14652",0.000183097
"K01951",0.00017483
"K00059",0.000172332
"K01990",0.000165302
"K00876",0.000165097
"K09808",0.000164868
"K02954",0.000164049
