"tipo","funcion","abundancia"
"pathway","PWY-6629: superpathway of L-tryptophan biosynthesis",0.000138752
"pathway","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000122293
"pathway","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000121698
"pathway","TRPSYN-PWY: L-tryptophan biosynthesis",0.000116967
"pathway","GLUTORN-PWY: L-ornithine biosynthesis I",0.000106983
"pathway","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",8.63866e-05
"pathway","PWY-7400: L-arginine biosynthesis IV (archaebacteria)",7.87435e-05
"pathway","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",6.66036e-05
"pathway","PWY-6628: superpathway of L-phenylalanine biosynthesis",5.67908e-05
"pathway","PWY-4984: urea cycle",4.40428e-05
"pathway","PWY-6630: superpathway of L-tyrosine biosynthesis",3.95641e-05
"pathway","PWY-6305: superpathway of putrescine biosynthesis",2.9322e-05
"pathway","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1.66743e-05
"pathway","PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",1.28752e-05
"pathway","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",9.29604e-06
"pathway","ORNDEG-PWY: superpathway of ornithine degradation",3.57992e-06
"pathway","POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",3.42332e-06
